marital,divorce,widowed,agekdbrn,happy,hapmar,hapcohab,age,degree,income,relgion,life
Married,Yes,No ,27,Pretyy Happy,Pretyy Happy,NA,79,Graduate,Refused,None,Routine
Married,No ,No ,24,Pretyy Happy,Very Happy,NA,38,Bachelors,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,42,Pretyy Happy,Pretyy Happy,NA,68,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,38,Bachelors,Refused,None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,32,Graduate,"$25,000 or more",Orthodox-Christian,Exciting
Married,Yes,No ,19,Very Happy,Very Happy,NA,54,High School,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,28,Pretyy Happy,NA,NA,71,Bachelors,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,29,Pretyy Happy,NA,NA,89,Bachelors,"$25,000 or more",Protestant,Routine
Separated,NA,No ,16,Very Happy,NA,NA,63,High School,"$20,000 to $24,999",Protestant,Exciting
Married,Yes,No ,34,Pretyy Happy,Very Happy,NA,73,Bachelors,"$25,000 or more",None,Routine
Divorced,NA,No ,19,Not Too Happy,NA,NA,59,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,28,Graduate,Refused,None,Routine
Married,No ,No ,32,Pretyy Happy,Pretyy Happy,NA,37,Graduate,Refused,Catholic ,Routine
Married,Yes,No ,36,Pretyy Happy,Pretyy Happy,NA,67,Graduate,Refused,Jewish ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,25,Bachelors,"$25,000 or more",None,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,58,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,34,Pretyy Happy,Very Happy,NA,84,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,68,High School,"$10,000 to $14,999",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Not Too Happy,63,<High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,33,Not Too Happy,Pretyy Happy,NA,36,Bachelors,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,23,Not Too Happy,NA,NA,87,High School,"$25,000 or more",Catholic ,Dull
Married,No ,No ,NA,Very Happy,Very Happy,NA,74,Graduate,"$25,000 or more",None,Exciting
Divorced,NA,No ,35,Pretyy Happy,NA,NA,66,High School,"$1,000 to $2,999",None,Exciting
Married,No ,No ,37,Pretyy Happy,Pretyy Happy,NA,46,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,NA,Not Too Happy,Pretyy Happy,NA,43,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,19,Not Too Happy,Very Happy,NA,49,High School,"$10,000 to $14,999",Catholic ,Routine
Never Married,NA,NA,26,Not Too Happy,NA,NA,74,Associate,"$25,000 or more",None,Routine
Divorced,NA,No ,37,Pretyy Happy,NA,NA,54,Bachelors,"$15,000 to $19,999",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,53,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,35,Pretyy Happy,Pretyy Happy,NA,62,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,39,Pretyy Happy,NA,NA,65,Graduate,"$25,000 or more",Christian,Dull
Divorced,NA,No ,24,Pretyy Happy,NA,NA,64,Bachelors,"$25,000 or more",Other,Exciting
Married,No ,No ,23,Very Happy,Very Happy,NA,33,Bachelors,"$10,000 to $14,999",None,Exciting
Married,No ,No ,29,Very Happy,Very Happy,NA,75,Bachelors,"$25,000 or more",Jewish ,Exciting
Divorced,NA,No ,33,Pretyy Happy,NA,NA,41,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,36,High School,"$25,000 or more",None,Routine
Married,Yes,No ,18,Pretyy Happy,Very Happy,NA,44,High School,"$25,000 or more",Protestant,Exciting
Widowed,Yes,NA,17,Not Too Happy,NA,NA,67,<High School,"$10,000 to $14,999",Catholic ,Routine
Married,No ,No ,32,Not Too Happy,Not Too Happy,NA,45,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,27,Very Happy,Very Happy,NA,36,Graduate,Refused,None,Exciting
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,32,Bachelors,"$25,000 or more",Hinduism,Routine
Married,Yes,No ,NA,Pretyy Happy,Pretyy Happy,NA,67,Graduate,Refused,Protestant,Exciting
Never Married,NA,NA,20,Not Too Happy,NA,NA,28,High School,"<$1,000",Other,Dull
Never Married,NA,NA,18,Pretyy Happy,NA,NA,41,High School,"$15,000 to $19,999",Muslim,Routine
Divorced,NA,No ,22,Not Too Happy,NA,NA,64,High School,"$20,000 to $24,999",None,Dull
Married,No ,No ,22,Pretyy Happy,Very Happy,NA,41,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,52,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,18,Very Happy,Pretyy Happy,NA,85,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,53,High School,"$25,000 or more",Protestant,Dull
Never Married,NA,NA,21,Not Too Happy,NA,NA,39,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,37,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,26,Not Too Happy,NA,NA,42,Associate,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,19,Not Too Happy,NA,NA,57,High School,"$8,000 to $9,999",Inter-Nondenominational,Routine
Never Married,NA,NA,20,Not Too Happy,NA,Not Too Happy,28,High School,"$8,000 to $9,999",None,Routine
Never Married,NA,NA,26,Very Happy,NA,Very Happy,37,High School,"$4,000 to $4,999",Muslim,Exciting
Married,No ,No ,25,Pretyy Happy,Very Happy,NA,72,Graduate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,32,Not Too Happy,Very Happy,NA,63,Graduate,Refused,Protestant,Exciting
Married,No ,No ,30,Very Happy,Not Too Happy,NA,70,Graduate,Refused,Catholic ,Exciting
Married,No ,No ,28,Not Too Happy,Pretyy Happy,NA,59,High School,Refused,Protestant,Routine
Married,Yes,No ,20,Pretyy Happy,Pretyy Happy,NA,44,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,19,Not Too Happy,Pretyy Happy,NA,78,Graduate,Refused,Protestant,Exciting
Married,No ,No ,31,Pretyy Happy,Very Happy,NA,46,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Not Too Happy,Not Too Happy,NA,37,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,19,Very Happy,Very Happy,NA,49,High School,"<$1,000",Catholic ,Exciting
Married,No ,No ,30,Pretyy Happy,NA,Very Happy,67,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,Very Happy,36,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,39,Very Happy,Very Happy,NA,47,Graduate,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,29,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,30,Very Happy,Very Happy,NA,60,Associate,"$25,000 or more",Hinduism,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,43,Associate,"$25,000 or more",None,Routine
Divorced,NA,No ,29,Pretyy Happy,NA,NA,64,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,27,Not Too Happy,NA,NA,39,High School,"$10,000 to $14,999",Catholic ,Exciting
Divorced,NA,No ,29,Not Too Happy,NA,NA,68,High School,"$20,000 to $24,999",Protestant,Dull
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,32,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,20,Not Too Happy,NA,NA,45,High School,"$7,000 to $7,999",Protestant,Routine
Divorced,NA,No ,22,Pretyy Happy,NA,NA,74,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,32,Bachelors,"$25,000 or more",Muslim,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,38,Bachelors,"$25,000 or more",None,Routine
Married,Yes,No ,19,Pretyy Happy,Very Happy,NA,60,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,32,Pretyy Happy,Very Happy,NA,38,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,37,Graduate,Refused,None,Exciting
Divorced,NA,No ,20,Not Too Happy,NA,NA,72,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,30,Graduate,"$25,000 or more",None,Exciting
Widowed,No ,NA,20,Pretyy Happy,NA,NA,46,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,33,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,22,Pretyy Happy,Very Happy,NA,34,High School,"$25,000 or more",None,Routine
Married,Yes,No ,NA,Very Happy,Very Happy,NA,52,Bachelors,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,39,High School,"$20,000 to $24,999",None,Routine
Divorced,NA,No ,20,Pretyy Happy,NA,NA,78,Bachelors,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,18,Pretyy Happy,NA,NA,53,Associate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,37,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,16,Not Too Happy,NA,NA,48,High School,"$3,000 to $3,999",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,25,Bachelors,"$3,000 to $3,999",Protestant,Routine
Married,No ,No ,28,Very Happy,Very Happy,NA,69,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,37,Pretyy Happy,NA,NA,69,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,23,Pretyy Happy,Pretyy Happy,NA,60,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,25,Very Happy,NA,NA,61,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,21,Very Happy,Very Happy,NA,61,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,22,Very Happy,NA,Very Happy,65,High School,"$10,000 to $14,999",Catholic ,Routine
Divorced,NA,No ,29,Pretyy Happy,NA,Pretyy Happy,65,Bachelors,Refused,Catholic ,Exciting
Married,No ,No ,24,Very Happy,Very Happy,NA,29,Bachelors,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,29,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,69,Bachelors,Refused,Jewish ,Dull
Married,Yes,No ,21,Pretyy Happy,Pretyy Happy,NA,44,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,35,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,42,Not Too Happy,Very Happy,NA,57,Bachelors,"$25,000 or more",None,Exciting
Married,Yes,No ,25,Pretyy Happy,Very Happy,NA,60,Graduate,"$25,000 or more",None,Routine
Married,Yes,No ,NA,Pretyy Happy,Very Happy,NA,66,High School,"$25,000 or more",None,Routine
Married,No ,No ,27,Very Happy,Very Happy,NA,72,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,24,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,26,Pretyy Happy,Pretyy Happy,NA,57,High School,"<$1,000",Catholic ,Routine
Married,No ,No ,40,Pretyy Happy,Pretyy Happy,NA,52,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,15,Not Too Happy,NA,NA,36,High School,"<$1,000",None,Dull
Married,No ,No ,27,Pretyy Happy,Not Too Happy,NA,39,High School,"$25,000 or more",None,Routine
Married,Yes,No ,24,Very Happy,Very Happy,NA,63,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,30,Pretyy Happy,NA,Pretyy Happy,59,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,38,Not Too Happy,Very Happy,NA,74,Graduate,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,28,Very Happy,Very Happy,NA,75,Graduate,Refused,Protestant,Exciting
Married,No ,No ,30,Very Happy,Very Happy,NA,49,Bachelors,Refused,Protestant,Exciting
Divorced,NA,No ,NA,Very Happy,NA,Very Happy,37,High School,Refused,Protestant,Exciting
Married,No ,No ,NA,Not Too Happy,Pretyy Happy,NA,37,High School,"$20,000 to $24,999",None,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,27,High School,"$25,000 or more",Protestant,Dull
Divorced,NA,No ,28,Not Too Happy,NA,NA,67,Bachelors,"$25,000 or more",Jewish ,Routine
Divorced,NA,No ,21,Not Too Happy,NA,NA,73,High School,"$15,000 to $19,999",Catholic ,Routine
Divorced,NA,No ,26,Very Happy,NA,Very Happy,47,High School,Refused,Catholic ,Exciting
Married,Yes,No ,20,Pretyy Happy,Pretyy Happy,NA,59,Graduate,Refused,Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,48,High School,"$25,000 or more",Christian,Routine
Separated,NA,No ,22,Not Too Happy,NA,NA,30,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,32,High School,"$25,000 or more",None,Routine
Married,No ,No ,29,Pretyy Happy,Pretyy Happy,NA,34,High School,"$25,000 or more",None,Routine
Married,No ,No ,34,Pretyy Happy,Pretyy Happy,NA,69,Bachelors,"$25,000 or more",None,Exciting
Divorced,NA,No ,20,Not Too Happy,NA,NA,45,High School,"$8,000 to $9,999",Catholic ,Exciting
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,51,Graduate,Refused,None,Routine
Married,No ,No ,32,Not Too Happy,Pretyy Happy,NA,39,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,17,Not Too Happy,NA,NA,89,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,26,Pretyy Happy,Pretyy Happy,NA,70,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,38,Pretyy Happy,Pretyy Happy,NA,49,Graduate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,42,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,22,Not Too Happy,Not Too Happy,NA,44,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,30,High School,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,22,Not Too Happy,NA,NA,79,High School,"$10,000 to $14,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,65,Associate,"$25,000 or more",None,Exciting
Married,No ,No ,26,Pretyy Happy,Pretyy Happy,NA,43,<High School,"$25,000 or more",None,Routine
Married,No ,No ,41,Pretyy Happy,Pretyy Happy,NA,43,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,18,Pretyy Happy,NA,Pretyy Happy,31,High School,"$5,000 to $5,999",Christian,Exciting
Never Married,NA,NA,14,Not Too Happy,NA,NA,43,High School,"$15,000 to $19,999",Inter-Nondenominational,Exciting
Divorced,NA,No ,20,Pretyy Happy,NA,NA,64,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,31,Associate,"$20,000 to $24,999",None,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,47,High School,"$20,000 to $24,999",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,27,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,31,Pretyy Happy,Very Happy,NA,36,Bachelors,"$1,000 to $2,999",Catholic ,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,26,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,25,Pretyy Happy,Pretyy Happy,NA,45,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,25,Associate,Refused,Other,Exciting
Married,No ,No ,NA,Very Happy,Very Happy,NA,28,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,36,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,37,Very Happy,Very Happy,NA,37,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,20,Pretyy Happy,NA,Pretyy Happy,61,<High School,"$25,000 or more",None,Routine
Widowed,No ,NA,24,Pretyy Happy,NA,NA,65,Associate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,61,Graduate,"$8,000 to $9,999",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,22,High School,"$10,000 to $14,999",None,Dull
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,50,Graduate,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,29,Pretyy Happy,NA,NA,89,Graduate,"$20,000 to $24,999",Catholic ,Exciting
Married,No ,No ,20,Pretyy Happy,Pretyy Happy,NA,37,<High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,18,<High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,42,High School,"$25,000 or more",None,Exciting
Divorced,NA,No ,NA,Not Too Happy,NA,NA,37,Graduate,"$25,000 or more",Other,Routine
Divorced,NA,No ,31,Very Happy,NA,NA,44,High School,"$25,000 or more",None,Exciting
Married,No ,No ,26,Very Happy,Very Happy,NA,63,Graduate,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,29,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,52,Bachelors,Refused,Protestant,Routine
Married,No ,No ,25,Pretyy Happy,Very Happy,NA,55,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,44,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,30,<High School,"$8,000 to $9,999",None,Dull
Divorced,NA,No ,NA,Pretyy Happy,NA,Pretyy Happy,48,Graduate,"$25,000 or more",None,Routine
Divorced,NA,No ,30,Pretyy Happy,NA,NA,61,Graduate,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,53,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,61,Bachelors,"$8,000 to $9,999",Protestant,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,30,Graduate,"$4,000 to $4,999",Jewish ,Exciting
Married,No ,No ,24,Pretyy Happy,Very Happy,NA,66,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,25,Pretyy Happy,NA,NA,69,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,30,Pretyy Happy,Very Happy,NA,62,<High School,"$7,000 to $7,999",Protestant,Routine
Married,Yes,No ,21,Very Happy,Very Happy,NA,47,Bachelors,"$25,000 or more",None,Exciting
Never Married,NA,NA,29,Pretyy Happy,NA,Not Too Happy,37,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,17,Not Too Happy,NA,NA,54,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,31,Not Too Happy,NA,NA,47,High School,"$10,000 to $14,999",Catholic ,Routine
Divorced,NA,No ,25,Pretyy Happy,NA,NA,59,High School,"$1,000 to $2,999",None,Routine
Married,Yes,No ,30,Pretyy Happy,Very Happy,NA,57,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,23,Pretyy Happy,NA,NA,33,High School,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,58,Graduate,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,20,Pretyy Happy,NA,NA,49,<High School,"$10,000 to $14,999",Buddhism,Routine
Widowed,No ,NA,21,Pretyy Happy,NA,NA,81,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,23,Pretyy Happy,NA,Pretyy Happy,28,<High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,25,Not Too Happy,Pretyy Happy,NA,70,Associate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,44,High School,"$25,000 or more",None,Routine
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,41,Graduate,"$25,000 or more",Jewish ,Routine
Never Married,NA,NA,27,Not Too Happy,NA,NA,42,High School,"$25,000 or more",Catholic ,Routine
Separated,NA,No ,17,Pretyy Happy,NA,NA,41,High School,"$25,000 or more",None,Routine
Married,No ,No ,26,Very Happy,Very Happy,NA,67,High School,"$25,000 or more",None,Routine
Married,No ,No ,18,Not Too Happy,Very Happy,NA,71,Associate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,64,Associate,"$25,000 or more",Protestant,Dull
Widowed,No ,NA,20,Not Too Happy,NA,NA,77,Bachelors,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,24,Not Too Happy,NA,NA,70,Graduate,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,16,Pretyy Happy,Pretyy Happy,NA,72,Associate,"$25,000 or more",None,Routine
Married,No ,No ,36,Pretyy Happy,Very Happy,NA,67,High School,Refused,Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,36,<High School,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,19,Very Happy,NA,NA,67,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,35,Pretyy Happy,Very Happy,NA,51,Graduate,Refused,None,Exciting
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,34,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,29,Not Too Happy,Very Happy,NA,64,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,67,Bachelors,"$10,000 to $14,999",None,Routine
Never Married,NA,NA,19,Pretyy Happy,NA,Not Too Happy,33,Associate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,18,Pretyy Happy,Pretyy Happy,NA,33,Associate,"$25,000 or more",Catholic ,Routine
