"","marital","divorce","widowed","agekdbrn","happy","hapmar","hapcohab","age","degree","income","relgion","life"
"55","Married","Yes","No ",19,"Very Happy","Very Happy",NA,54,"High School","$25,000 or more","Catholic ","Routine"
"56","Widowed","No ",NA,28,"Pretyy Happy",NA,NA,71,"Bachelors","$25,000 or more","Protestant","Routine"
"57","Widowed","No ",NA,29,"Pretyy Happy",NA,NA,89,"Bachelors","$25,000 or more","Protestant","Routine"
"58","Separated",NA,"No ",16,"Very Happy",NA,NA,63,"High School","$20,000 to $24,999","Protestant","Exciting"
"59","Married","Yes","No ",34,"Pretyy Happy","Very Happy",NA,73,"Bachelors","$25,000 or more","None","Routine"
"60","Divorced",NA,"No ",19,"Not Too Happy",NA,NA,59,"High School","$25,000 or more","Protestant","Routine"
"61","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",28,"Graduate","Refused","None","Routine"
"62","Married","No ","No ",32,"Pretyy Happy","Pretyy Happy",NA,37,"Graduate","Refused","Catholic ","Routine"
"63","Married","Yes","No ",36,"Pretyy Happy","Pretyy Happy",NA,67,"Graduate","Refused","Jewish ","Exciting"
"64","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,25,"Bachelors","$25,000 or more","None","Dull"
"65","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,58,"High School","$25,000 or more","Protestant","Routine"
"66","Married","No ","No ",34,"Pretyy Happy","Very Happy",NA,84,"Bachelors","$25,000 or more","Protestant","Routine"
"67","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,68,"High School","$10,000 to $14,999","Catholic ","Routine"
"68","Never Married",NA,NA,NA,"Not Too Happy",NA,"Not Too Happy",63,"<High School","$25,000 or more","Protestant","Routine"
"69","Married","No ","No ",33,"Not Too Happy","Pretyy Happy",NA,36,"Bachelors","$25,000 or more","Catholic ","Routine"
"70","Widowed","No ",NA,23,"Not Too Happy",NA,NA,87,"High School","$25,000 or more","Catholic ","Dull"
"71","Married","No ","No ",NA,"Very Happy","Very Happy",NA,74,"Graduate","$25,000 or more","None","Exciting"
"72","Divorced",NA,"No ",35,"Pretyy Happy",NA,NA,66,"High School","$1,000 to $2,999","None","Exciting"
"73","Married","No ","No ",37,"Pretyy Happy","Pretyy Happy",NA,46,"Bachelors","$25,000 or more","Catholic ","Exciting"
"74","Married","No ","No ",NA,"Not Too Happy","Pretyy Happy",NA,43,"Graduate","$25,000 or more","None","Exciting"
"75","Married","No ","No ",19,"Not Too Happy","Very Happy",NA,49,"High School","$10,000 to $14,999","Catholic ","Routine"
"76","Never Married",NA,NA,26,"Not Too Happy",NA,NA,74,"Associate","$25,000 or more","None","Routine"
"77","Divorced",NA,"No ",37,"Pretyy Happy",NA,NA,54,"Bachelors","$15,000 to $19,999","Protestant","Exciting"
"78","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,53,"Graduate","$25,000 or more","None","Routine"
"79","Married","No ","No ",35,"Pretyy Happy","Pretyy Happy",NA,62,"High School","$25,000 or more","None","Routine"
"80","Divorced",NA,"No ",39,"Pretyy Happy",NA,NA,65,"Graduate","$25,000 or more","Christian","Dull"
"81","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,64,"Bachelors","$25,000 or more","Other","Exciting"
"82","Married","No ","No ",23,"Very Happy","Very Happy",NA,33,"Bachelors","$10,000 to $14,999","None","Exciting"
"83","Married","No ","No ",29,"Very Happy","Very Happy",NA,75,"Bachelors","$25,000 or more","Jewish ","Exciting"
"84","Divorced",NA,"No ",33,"Pretyy Happy",NA,NA,41,"Bachelors","$25,000 or more","None","Routine"
"85","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,36,"High School","$25,000 or more","None","Routine"
"86","Married","Yes","No ",18,"Pretyy Happy","Very Happy",NA,44,"High School","$25,000 or more","Protestant","Exciting"
"87","Widowed","Yes",NA,17,"Not Too Happy",NA,NA,67,"<High School","$10,000 to $14,999","Catholic ","Routine"
"88","Married","No ","No ",32,"Not Too Happy","Not Too Happy",NA,45,"High School","$25,000 or more","Protestant","Routine"
"89","Married","No ","No ",27,"Very Happy","Very Happy",NA,36,"Graduate","Refused","None","Exciting"
"90","Married","No ","No ",26,"Pretyy Happy","Very Happy",NA,32,"Bachelors","$25,000 or more","Hinduism","Routine"
"91","Married","Yes","No ",NA,"Pretyy Happy","Pretyy Happy",NA,67,"Graduate","Refused","Protestant","Exciting"
"92","Never Married",NA,NA,20,"Not Too Happy",NA,NA,28,"High School","<$1,000","Other","Dull"
"93","Never Married",NA,NA,18,"Pretyy Happy",NA,NA,41,"High School","$15,000 to $19,999","Muslim","Routine"
"94","Divorced",NA,"No ",22,"Not Too Happy",NA,NA,64,"High School","$20,000 to $24,999","None","Dull"
"95","Married","No ","No ",22,"Pretyy Happy","Very Happy",NA,41,"High School","$25,000 or more","Protestant","Routine"
"96","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,52,"High School","$25,000 or more","Protestant","Routine"
"97","Married","No ","No ",18,"Very Happy","Pretyy Happy",NA,85,"High School","$25,000 or more","Catholic ","Routine"
"98","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,53,"High School","$25,000 or more","Protestant","Dull"
"99","Never Married",NA,NA,21,"Not Too Happy",NA,NA,39,"High School","$25,000 or more","Protestant","Exciting"
"100","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,37,"Bachelors","$25,000 or more","Protestant","Exciting"
"101","Never Married",NA,NA,26,"Not Too Happy",NA,NA,42,"Associate","$25,000 or more","Protestant","Routine"
"102","Widowed","No ",NA,19,"Not Too Happy",NA,NA,57,"High School","$8,000 to $9,999","Inter-Nondenominational","Routine"
"103","Never Married",NA,NA,20,"Not Too Happy",NA,"Not Too Happy",28,"High School","$8,000 to $9,999","None","Routine"
"104","Never Married",NA,NA,26,"Very Happy",NA,"Very Happy",37,"High School","$4,000 to $4,999","Muslim","Exciting"
"105","Married","No ","No ",25,"Pretyy Happy","Very Happy",NA,72,"Graduate","$25,000 or more","Catholic ","Routine"
"106","Married","No ","No ",32,"Not Too Happy","Very Happy",NA,63,"Graduate","Refused","Protestant","Exciting"
"107","Married","No ","No ",30,"Very Happy","Not Too Happy",NA,70,"Graduate","Refused","Catholic ","Exciting"
"108","Married","No ","No ",28,"Not Too Happy","Pretyy Happy",NA,59,"High School","Refused","Protestant","Routine"
"109","Married","Yes","No ",20,"Pretyy Happy","Pretyy Happy",NA,44,"High School","$25,000 or more","Protestant","Routine"
"110","Married","No ","No ",19,"Not Too Happy","Pretyy Happy",NA,78,"Graduate","Refused","Protestant","Exciting"
"111","Married","No ","No ",31,"Pretyy Happy","Very Happy",NA,46,"Graduate","$25,000 or more","Protestant","Routine"
"112","Married","No ","No ",NA,"Not Too Happy","Not Too Happy",NA,37,"Bachelors","$25,000 or more","None","Routine"
"113","Married","No ","No ",19,"Very Happy","Very Happy",NA,49,"High School","<$1,000","Catholic ","Exciting"
"114","Married","No ","No ",30,"Pretyy Happy",NA,"Very Happy",67,"High School","$25,000 or more","None","Routine"
"115","Divorced",NA,"No ",NA,"Not Too Happy",NA,"Very Happy",36,"Bachelors","$25,000 or more","Catholic ","Exciting"
"116","Married","No ","No ",39,"Very Happy","Very Happy",NA,47,"Graduate","Refused","Protestant","Exciting"
"117","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",29,"Bachelors","$25,000 or more","None","Exciting"
"118","Married","No ","No ",30,"Very Happy","Very Happy",NA,60,"Associate","$25,000 or more","Hinduism","Exciting"
"119","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,43,"Associate","$25,000 or more","None","Routine"
"120","Divorced",NA,"No ",29,"Pretyy Happy",NA,NA,64,"High School","$25,000 or more","Catholic ","Routine"
"121","Divorced",NA,"No ",27,"Not Too Happy",NA,NA,39,"High School","$10,000 to $14,999","Catholic ","Exciting"
"122","Divorced",NA,"No ",29,"Not Too Happy",NA,NA,68,"High School","$20,000 to $24,999","Protestant","Dull"
"123","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,32,"Bachelors","$25,000 or more","Protestant","Routine"
"124","Divorced",NA,"No ",20,"Not Too Happy",NA,NA,45,"High School","$7,000 to $7,999","Protestant","Routine"
"125","Divorced",NA,"No ",22,"Pretyy Happy",NA,NA,74,"Bachelors","$25,000 or more","Protestant","Exciting"
"126","Married","No ","No ",26,"Pretyy Happy","Very Happy",NA,32,"Bachelors","$25,000 or more","Muslim","Exciting"
"127","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,38,"Bachelors","$25,000 or more","None","Routine"
"128","Married","Yes","No ",19,"Pretyy Happy","Very Happy",NA,60,"Associate","$25,000 or more","Protestant","Routine"
"129","Married","No ","No ",32,"Pretyy Happy","Very Happy",NA,38,"Graduate","$25,000 or more","Protestant","Routine"
"130","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,37,"Graduate","Refused","None","Exciting"
"131","Divorced",NA,"No ",20,"Not Too Happy",NA,NA,72,"High School","$25,000 or more","Protestant","Routine"
"132","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",30,"Graduate","$25,000 or more","None","Exciting"
"133","Widowed","No ",NA,20,"Pretyy Happy",NA,NA,46,"High School","$25,000 or more","Protestant","Routine"
"134","Married","No ","No ",29,"Pretyy Happy","Very Happy",NA,33,"Bachelors","$25,000 or more","None","Routine"
"135","Married","No ","No ",22,"Pretyy Happy","Very Happy",NA,34,"High School","$25,000 or more","None","Routine"
"136","Married","Yes","No ",NA,"Very Happy","Very Happy",NA,52,"Bachelors","Refused","Protestant","Exciting"
"137","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",39,"High School","$20,000 to $24,999","None","Routine"
"138","Divorced",NA,"No ",20,"Pretyy Happy",NA,NA,78,"Bachelors","$25,000 or more","Protestant","Exciting"
"139","Divorced",NA,"No ",18,"Pretyy Happy",NA,NA,53,"Associate","$25,000 or more","None","Routine"
"140","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,37,"High School","$25,000 or more","None","Routine"
"141","Divorced",NA,"No ",16,"Not Too Happy",NA,NA,48,"High School","$3,000 to $3,999","Catholic ","Routine"
"142","Never Married",NA,NA,NA,"Not Too Happy",NA,"Very Happy",25,"Bachelors","$3,000 to $3,999","Protestant","Routine"
"143","Married","No ","No ",28,"Very Happy","Very Happy",NA,69,"Graduate","$25,000 or more","Protestant","Exciting"
"144","Never Married",NA,NA,37,"Pretyy Happy",NA,NA,69,"High School","$25,000 or more","Protestant","Routine"
"145","Married","Yes","No ",23,"Pretyy Happy","Pretyy Happy",NA,60,"Associate","$25,000 or more","Protestant","Routine"
"146","Divorced",NA,"No ",25,"Very Happy",NA,NA,61,"Bachelors","$25,000 or more","Protestant","Exciting"
"147","Married","No ","No ",21,"Very Happy","Very Happy",NA,61,"High School","$25,000 or more","Protestant","Exciting"
"148","Divorced",NA,"No ",22,"Very Happy",NA,"Very Happy",65,"High School","$10,000 to $14,999","Catholic ","Routine"
"149","Divorced",NA,"No ",29,"Pretyy Happy",NA,"Pretyy Happy",65,"Bachelors","Refused","Catholic ","Exciting"
"150","Married","No ","No ",24,"Very Happy","Very Happy",NA,29,"Bachelors","$25,000 or more","Catholic ","Exciting"
"151","Never Married",NA,NA,NA,"Very Happy",NA,NA,29,"Bachelors","$25,000 or more","Catholic ","Routine"
"152","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,69,"Bachelors","Refused","Jewish ","Dull"
"153","Married","Yes","No ",21,"Pretyy Happy","Pretyy Happy",NA,44,"Bachelors","$25,000 or more","Protestant","Routine"
"154","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,35,"Bachelors","$25,000 or more","None","Routine"
"155","Married","No ","No ",42,"Not Too Happy","Very Happy",NA,57,"Bachelors","$25,000 or more","None","Exciting"
"156","Married","Yes","No ",25,"Pretyy Happy","Very Happy",NA,60,"Graduate","$25,000 or more","None","Routine"
"157","Married","Yes","No ",NA,"Pretyy Happy","Very Happy",NA,66,"High School","$25,000 or more","None","Routine"
"158","Married","No ","No ",27,"Very Happy","Very Happy",NA,72,"Bachelors","$25,000 or more","Catholic ","Routine"
"159","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,24,"Bachelors","$25,000 or more","None","Routine"
"160","Married","No ","No ",26,"Pretyy Happy","Pretyy Happy",NA,57,"High School","<$1,000","Catholic ","Routine"
"161","Married","No ","No ",40,"Pretyy Happy","Pretyy Happy",NA,52,"High School","$25,000 or more","Catholic ","Routine"
"162","Never Married",NA,NA,15,"Not Too Happy",NA,NA,36,"High School","<$1,000","None","Dull"
"163","Married","No ","No ",27,"Pretyy Happy","Not Too Happy",NA,39,"High School","$25,000 or more","None","Routine"
"164","Married","Yes","No ",24,"Very Happy","Very Happy",NA,63,"High School","$25,000 or more","Protestant","Routine"
"165","Divorced",NA,"No ",30,"Pretyy Happy",NA,"Pretyy Happy",59,"High School","$25,000 or more","Catholic ","Routine"
"166","Married","No ","No ",38,"Not Too Happy","Very Happy",NA,74,"Graduate","$25,000 or more","Jewish ","Exciting"
"167","Married","No ","No ",28,"Very Happy","Very Happy",NA,75,"Graduate","Refused","Protestant","Exciting"
"168","Married","No ","No ",30,"Very Happy","Very Happy",NA,49,"Bachelors","Refused","Protestant","Exciting"
"169","Divorced",NA,"No ",NA,"Very Happy",NA,"Very Happy",37,"High School","Refused","Protestant","Exciting"
"170","Married","No ","No ",NA,"Not Too Happy","Pretyy Happy",NA,37,"High School","$20,000 to $24,999","None","Dull"
"171","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Pretyy Happy",27,"High School","$25,000 or more","Protestant","Dull"
"172","Divorced",NA,"No ",28,"Not Too Happy",NA,NA,67,"Bachelors","$25,000 or more","Jewish ","Routine"
"173","Divorced",NA,"No ",21,"Not Too Happy",NA,NA,73,"High School","$15,000 to $19,999","Catholic ","Routine"
"174","Divorced",NA,"No ",26,"Very Happy",NA,"Very Happy",47,"High School","Refused","Catholic ","Exciting"
"175","Married","Yes","No ",20,"Pretyy Happy","Pretyy Happy",NA,59,"Graduate","Refused","Protestant","Routine"
"176","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,48,"High School","$25,000 or more","Christian","Routine"
"177","Separated",NA,"No ",22,"Not Too Happy",NA,NA,30,"Bachelors","$25,000 or more","None","Routine"
"178","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,32,"High School","$25,000 or more","None","Routine"
"179","Married","No ","No ",29,"Pretyy Happy","Pretyy Happy",NA,34,"High School","$25,000 or more","None","Routine"
"180","Married","No ","No ",34,"Pretyy Happy","Pretyy Happy",NA,69,"Bachelors","$25,000 or more","None","Exciting"
"181","Divorced",NA,"No ",20,"Not Too Happy",NA,NA,45,"High School","$8,000 to $9,999","Catholic ","Exciting"
"182","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,51,"Graduate","Refused","None","Routine"
"183","Married","No ","No ",32,"Not Too Happy","Pretyy Happy",NA,39,"Bachelors","$25,000 or more","None","Routine"
"184","Never Married",NA,NA,17,"Not Too Happy",NA,NA,89,"High School","$25,000 or more","Catholic ","Routine"
"185","Married","No ","No ",26,"Pretyy Happy","Pretyy Happy",NA,70,"Bachelors","$25,000 or more","Protestant","Routine"
"186","Married","No ","No ",38,"Pretyy Happy","Pretyy Happy",NA,49,"Graduate","$25,000 or more","Catholic ","Routine"
"187","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,42,"Graduate","$25,000 or more","None","Routine"
"188","Married","No ","No ",22,"Not Too Happy","Not Too Happy",NA,44,"High School","$25,000 or more","Protestant","Routine"
"189","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",30,"High School","$25,000 or more","Protestant","Exciting"
"190","Widowed","No ",NA,22,"Not Too Happy",NA,NA,79,"High School","$10,000 to $14,999","None","Routine"
"191","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,65,"Associate","$25,000 or more","None","Exciting"
"192","Married","No ","No ",26,"Pretyy Happy","Pretyy Happy",NA,43,"<High School","$25,000 or more","None","Routine"
"193","Married","No ","No ",41,"Pretyy Happy","Pretyy Happy",NA,43,"High School","$25,000 or more","Protestant","Routine"
"194","Never Married",NA,NA,18,"Pretyy Happy",NA,"Pretyy Happy",31,"High School","$5,000 to $5,999","Christian","Exciting"
"195","Never Married",NA,NA,14,"Not Too Happy",NA,NA,43,"High School","$15,000 to $19,999","Inter-Nondenominational","Exciting"
"196","Divorced",NA,"No ",20,"Pretyy Happy",NA,NA,64,"Graduate","$25,000 or more","Protestant","Exciting"
"197","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Pretyy Happy",31,"Associate","$20,000 to $24,999","None","Exciting"
"198","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,47,"High School","$20,000 to $24,999","None","Exciting"
"199","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,27,"Bachelors","$25,000 or more","None","Exciting"
"200","Married","No ","No ",31,"Pretyy Happy","Very Happy",NA,36,"Bachelors","$1,000 to $2,999","Catholic ","Routine"
"201","Married","No ","No ",NA,"Very Happy","Very Happy",NA,26,"Bachelors","$25,000 or more","Protestant","Exciting"
"202","Married","No ","No ",25,"Pretyy Happy","Pretyy Happy",NA,45,"Bachelors","$25,000 or more","Protestant","Routine"
"203","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,25,"Associate","Refused","Other","Exciting"
"204","Married","No ","No ",NA,"Very Happy","Very Happy",NA,28,"Graduate","$25,000 or more","None","Routine"
"205","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,36,"Bachelors","$25,000 or more","Protestant","Routine"
"206","Married","Yes","No ",37,"Very Happy","Very Happy",NA,37,"Graduate","$25,000 or more","Protestant","Routine"
"207","Divorced",NA,"No ",20,"Pretyy Happy",NA,"Pretyy Happy",61,"<High School","$25,000 or more","None","Routine"
"208","Widowed","No ",NA,24,"Pretyy Happy",NA,NA,65,"Associate","$25,000 or more","Protestant","Routine"
"209","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,61,"Graduate","$8,000 to $9,999","Protestant","Exciting"
"210","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,22,"High School","$10,000 to $14,999","None","Dull"
"211","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,50,"Graduate","$25,000 or more","Protestant","Routine"
"212","Widowed","No ",NA,29,"Pretyy Happy",NA,NA,89,"Graduate","$20,000 to $24,999","Catholic ","Exciting"
"213","Married","No ","No ",20,"Pretyy Happy","Pretyy Happy",NA,37,"<High School","$25,000 or more","Catholic ","Exciting"
"214","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,18,"<High School","$25,000 or more","Protestant","Exciting"
"215","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,42,"High School","$25,000 or more","None","Exciting"
"216","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,37,"Graduate","$25,000 or more","Other","Routine"
"217","Divorced",NA,"No ",31,"Very Happy",NA,NA,44,"High School","$25,000 or more","None","Exciting"
"218","Married","No ","No ",26,"Very Happy","Very Happy",NA,63,"Graduate","$25,000 or more","Catholic ","Exciting"
"219","Never Married",NA,NA,NA,"Very Happy",NA,NA,29,"Bachelors","$25,000 or more","Protestant","Exciting"
"220","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,52,"Bachelors","Refused","Protestant","Routine"
"221","Married","No ","No ",25,"Pretyy Happy","Very Happy",NA,55,"High School","$25,000 or more","Catholic ","Routine"
"222","Married","No ","No ",NA,"Very Happy","Very Happy",NA,44,"Bachelors","$25,000 or more","None","Routine"
"223","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,30,"<High School","$8,000 to $9,999","None","Dull"
"224","Divorced",NA,"No ",NA,"Pretyy Happy",NA,"Pretyy Happy",48,"Graduate","$25,000 or more","None","Routine"
"225","Divorced",NA,"No ",30,"Pretyy Happy",NA,NA,61,"Graduate","$25,000 or more","None","Routine"
"226","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,53,"Graduate","$25,000 or more","Protestant","Routine"
"227","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,61,"Bachelors","$8,000 to $9,999","Protestant","Dull"
"228","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,30,"Graduate","$4,000 to $4,999","Jewish ","Exciting"
"229","Married","No ","No ",24,"Pretyy Happy","Very Happy",NA,66,"High School","$25,000 or more","Catholic ","Routine"
"230","Divorced",NA,"No ",25,"Pretyy Happy",NA,NA,69,"Graduate","$25,000 or more","Protestant","Routine"
"231","Married","Yes","No ",30,"Pretyy Happy","Very Happy",NA,62,"<High School","$7,000 to $7,999","Protestant","Routine"
"232","Married","Yes","No ",21,"Very Happy","Very Happy",NA,47,"Bachelors","$25,000 or more","None","Exciting"
"233","Never Married",NA,NA,29,"Pretyy Happy",NA,"Not Too Happy",37,"Graduate","$25,000 or more","Protestant","Routine"
"234","Divorced",NA,"No ",17,"Not Too Happy",NA,NA,54,"High School","$25,000 or more","Catholic ","Routine"
"235","Never Married",NA,NA,31,"Not Too Happy",NA,NA,47,"High School","$10,000 to $14,999","Catholic ","Routine"
"236","Divorced",NA,"No ",25,"Pretyy Happy",NA,NA,59,"High School","$1,000 to $2,999","None","Routine"
"237","Married","Yes","No ",30,"Pretyy Happy","Very Happy",NA,57,"High School","$25,000 or more","Catholic ","Routine"
